,0
0,14895.298000000017
1,17441.27200000001
2,18698.26200000001
3,20400.252000000008
4,21418.25300000001
5,22096.25600000001
6,22130.254000000008
7,22338.257000000005
8,22378.263000000006
9,22378.266000000007
10,19843.27400000001
11,18876.280000000006
12,17912.28300000001
13,17157.290000000008
14,16807.297000000006
15,16294.301000000007
16,16107.307000000006
17,15375.315000000008
18,15204.320000000007
19,14444.325000000008
20,15073.335000000008
21,16486.338000000007
22,16331.348000000005
23,15965.354000000007
24,16964.357000000004
25,17374.367000000006
26,17782.375000000007
27,17850.378000000008
28,17528.384000000005
29,18579.392000000007
30,18959.409000000007
31,18836.415000000008
32,18873.416000000012
33,19076.41400000001
34,18150.415000000015
35,18556.41300000001
36,18012.41000000001
37,18617.41000000001
38,19098.41000000001
39,18916.40800000001
40,18550.40700000001
41,18590.40400000001
42,18564.40700000001
43,18380.40500000001
44,18198.40400000001
45,17642.40100000001
46,18034.39900000001
47,18445.39700000001
48,18242.39700000001
49,18242.39700000001
50,18312.394000000008
51,18114.395000000008
52,17932.393000000007
53,17361.394000000008
54,18565.391000000007
55,18565.392000000007
56,19193.38900000001
57,20002.386000000006
58,18822.388000000006
59,18633.38900000001
60,19007.390000000007
61,19205.390000000007
62,17666.388000000006
63,18277.385000000006
64,18907.38000000001
65,19484.38000000001
66,18304.38100000001
67,18317.379000000008
68,18704.378000000004
69,19091.378000000004
70,18498.379000000008
71,19647.38300000001
72,20445.38000000001
73,20047.38000000001
74,19844.38100000001
75,19265.38100000001
76,18894.380000000005
77,18904.378000000004
78,18925.375000000007
79,18175.373000000007
80,18384.372000000003
81,17191.376000000004
82,17191.377000000008
83,18381.373000000007
84,18531.377000000008
85,19669.38000000001
86,20649.379000000008
87,20638.378000000008
88,20440.377000000008
89,20655.37800000001
90,20280.375000000007
91,20491.373000000007
92,19495.374000000007
93,18950.370000000006
94,19008.364000000005
95,17817.367000000006
96,16073.366000000005
97,16225.369000000006
98,17432.364000000005
99,17454.364000000005
100,17080.363000000005
101,18279.360000000008
102,19080.357000000004
103,18885.357000000004
104,19061.359000000004
105,18821.36300000001
106,19419.361000000008
107,19414.36300000001
108,18853.360000000008
109,18656.361000000004
110,19227.360000000008
111,18444.359000000004
112,18049.360000000008
113,18626.363000000005
114,18618.363000000005
115,19003.36400000001
116,19807.361000000004
117,19815.36200000001
118,19585.36400000001
119,19799.363000000005
120,19593.363000000005
121,19585.361000000004
