,0
0,16635.450000000026
1,18567.42500000002
2,21472.399000000016
3,23195.387000000013
4,24056.384000000016
5,24555.382000000012
6,24576.39300000001
7,25504.394000000008
8,26145.40100000001
9,26209.412000000015
10,24685.42300000001
11,22214.42700000001
12,21852.434000000012
13,20913.445000000014
14,20510.454000000012
15,19444.46600000001
16,18936.47700000001
17,17643.48000000001
18,17154.48300000001
19,15865.48900000001
20,16140.493000000011
21,16745.49700000001
22,16196.507000000012
23,17223.52000000001
24,19197.526000000013
25,20944.53700000001
26,20443.545000000013
27,21613.55300000001
28,22791.55700000001
29,22799.565000000013
30,23882.57400000002
31,25151.582000000017
32,24432.588000000014
33,24278.586000000014
34,24157.579000000012
35,22846.579000000012
36,23644.579000000016
37,22484.581000000017
38,22110.579000000016
39,23102.581000000017
40,22529.578000000012
41,22918.576000000015
42,23904.575000000015
43,23477.579000000016
44,22959.573000000015
45,22399.574000000015
46,22644.569000000014
47,22839.568000000014
48,21898.563000000013
49,21732.560000000012
50,21746.560000000012
51,20581.559000000012
52,20994.55600000001
53,20590.560000000012
54,20979.559000000012
55,21382.55700000001
56,20656.55400000001
57,21465.551000000014
58,21277.549000000014
59,21477.548000000013
60,22054.549000000014
61,22276.548000000013
62,22666.54800000001
63,22658.54900000001
64,22522.543000000012
65,23088.544000000013
66,23651.549000000014
67,22923.541000000012
68,22612.53200000001
69,23587.532000000014
70,23050.528000000013
71,24663.52400000001
72,23825.53100000001
73,23269.52800000001
74,22877.53000000001
75,23304.52500000001
76,21963.522000000008
77,21979.521000000008
78,22574.519000000008
79,21808.520000000008
80,23406.519000000008
81,22799.52000000001
82,22796.519000000008
83,23703.527000000013
84,23941.525000000012
85,22811.52100000001
86,23214.51900000001
87,23845.51800000001
88,24598.520000000008
89,24000.523000000012
90,23398.520000000008
91,23243.51500000001
92,23430.517000000007
93,23604.518000000007
94,23812.51700000001
95,24997.51400000001
96,25195.515000000007
97,24594.51600000001
98,23472.51300000001
99,24076.51100000001
100,23093.512000000006
101,23929.50800000001
102,23900.509000000005
103,22469.51400000001
104,22495.51000000001
105,21752.506000000005
106,21736.508000000005
107,22110.510000000006
108,21517.511000000006
109,21522.51000000001
110,22679.51300000001
111,22118.51000000001
112,21928.51000000001
113,23183.503000000008
114,23157.50600000001
115,23685.50900000001
116,23848.512000000006
117,23427.51600000001
118,23993.516000000007
119,24201.51400000001
120,23632.51200000001
121,23840.51100000001
122,23429.513000000006
123,22444.514000000006
124,22695.510000000006
125,22316.51000000001
126,22754.50700000001
127,22406.503000000008
128,21621.504000000008
129,22291.497000000007
130,22066.498000000007
131,21927.495000000006
132,23148.492000000013
133,23119.495000000006
134,21917.497000000007
135,22304.497000000003
136,21917.498000000003
137,22107.498000000007
138,21897.502000000008
139,22286.500000000004
140,23079.499000000003
141,22871.502000000008
142,23493.500000000004
143,23485.501000000004
144,24067.500000000004
145,24470.498000000007
146,24267.499000000003
147,24262.500000000007
148,25622.50100000001
149,25614.50000000001
150,24650.498000000007
151,24484.493000000006
152,23093.49600000001
153,22689.49500000001
154,22484.497000000007
155,21893.49500000001
156,21719.49300000001
157,21107.494000000006
158,20346.493000000006
159,20525.49500000001
160,20654.501000000007
161,21045.502000000008
162,21055.500000000007
163,21626.50200000001
164,21043.503000000008
165,21871.49900000001
166,22232.503000000008
167,22991.50600000001
168,22938.51000000001
169,22574.51000000001
170,22980.50900000001
171,22611.50600000001
172,22550.512000000006
173,22211.51000000001
174,23031.507000000012
175,23210.50700000001
176,23400.50600000001
177,23808.504000000008
178,24631.50000000001
179,24252.50000000001
180,23565.494000000006
181,23558.497000000007
182,23104.503000000008
183,22738.502000000008
184,23117.503000000008
185,22115.503000000008
186,21912.502000000008
187,21970.496000000006
188,21145.500000000007
189,20748.501000000007
190,21976.495000000006
191,22429.48900000001
192,21586.495000000006
193,22186.493000000006
194,21364.497000000007
195,22115.499000000007
196,22297.500000000007
197,22534.49500000001
198,23146.494000000006
199,23151.493000000006
200,23403.490000000005
201,23782.49100000001
202,24751.491000000013
203,23923.49400000001
204,23928.494000000013
205,23359.493000000006
206,23098.498000000014
207,24497.494000000006
208,25424.498000000007
209,25662.49400000001
210,24887.493000000013
211,23928.49200000001
212,23909.49300000001
213,23127.49500000001
214,22898.50000000001
215,23253.50200000001
216,23055.501000000015
217,22120.49800000001
218,20907.501000000007
219,20760.499000000007
220,21676.503000000008
221,22048.50600000001
222,21634.50600000001
223,22646.50200000001
224,22027.50600000001
225,22280.49900000001
226,22104.49800000001
227,21682.502000000008
228,21724.497000000007
229,22144.496000000006
230,22564.49600000001
231,23320.497000000007
232,23160.49400000001
233,23736.49400000001
234,24006.500000000007
235,24006.50000000001
236,24027.49800000001
237,24789.500000000007
238,25577.49900000001
239,24787.50300000001
240,23844.500000000007
241,22004.506000000012
242,21395.50700000001
243,21929.51000000001
244,22292.51200000001
245,22479.51200000001
246,22692.51200000001
247,20961.510000000013
248,20178.510000000013
249,20365.51000000001
250,21738.51200000001
251,22505.51300000001
252,22294.51300000001
253,22271.51600000001
254,22658.51600000001
255,21880.51400000001
256,22286.51400000001
257,22473.51400000001
258,21922.51000000001
259,22112.51200000001
260,21551.511000000006
261,22141.51100000001
262,22742.510000000013
263,22665.51700000001
264,21867.51700000001
265,21669.51600000001
266,21282.51600000001
267,22620.51800000001
268,22999.51800000001
269,22422.51700000001
270,22478.51100000001
271,21687.51200000001
272,20656.51600000001
273,20381.52200000001
274,20998.519000000008
275,21185.519000000008
276,21511.52500000001
277,19150.52700000001
278,19369.52600000001
279,19324.52900000001
280,19954.52500000001
281,20932.52600000001
282,20126.52900000001
283,20094.53300000001
284,20025.54200000001
285,19982.545000000013
286,20012.542000000012
287,20786.542000000012
288,20372.544000000013
289,20513.545000000013
290,20331.54400000001
291,20353.54600000001
292,22134.54300000001
293,21322.54500000001
294,20494.54900000001
295,19682.55100000001
296,19468.55200000001
297,20989.545000000013
298,21331.538000000015
299,20722.53100000001
300,19127.52200000001
301,18308.520000000015
302,18064.513000000014
303,18467.50100000001
304,18451.487000000012
305,18459.47500000001
306,18013.46600000001
307,15889.455000000009
308,15681.44400000001
309,15227.445000000009
310,15970.43900000001
311,16306.43600000001
312,15909.433000000008
313,15503.430000000011
314,15740.416000000008
315,15706.41100000001
316,15703.400000000009
317,16403.396000000008
318,16043.39100000001
319,16272.38400000001
320,16615.37600000001
321,16401.382000000012
322,17244.37300000001
323,16842.380000000012
324,16533.43400000001
325,16240.47400000001
326,16339.52700000001
327,17505.578000000012
328,18070.62100000001
329,18392.651000000005
330,17935.680000000008
331,18308.699000000008
332,17944.73700000001
333,18436.773000000005
334,19059.805000000008
335,21331.817000000006
336,21508.802000000007
337,20296.787000000004
338,20440.758
339,21080.728000000006
340,21979.71000000001
341,22246.688000000013
342,22261.67200000002
343,22276.65500000002
344,22165.631000000023
345,22042.622000000025
346,22019.610000000026
347,22093.625000000022
348,21763.62000000002
349,21072.619000000024
350,22186.589000000025
351,21968.584000000024
352,22594.57100000002
353,22651.56300000002
354,22436.55700000002
355,22382.53600000002
356,22226.51200000002
357,23081.49600000002
358,23405.499000000018
359,23342.492000000017
360,22509.476000000017
361,22306.483000000015
362,21910.470000000016
363,21631.477000000017
364,21980.490000000016
365,22257.501000000015
366,22435.505000000016
367,21131.509000000013
368,20980.508000000013
369,21310.499000000014
370,21315.501000000015
