,0,1,2,3,4,5,6,7,8,9,10
0,6310.108000000011,0.12800000000000009,8.082999999999956,0.001,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
1,10976.075000000012,0.1310000000000001,16.083000000000037,0.001,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
2,12466.058000000008,0.1330000000000001,24.08400000000004,0.001,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
3,13546.046000000008,24.13500000000009,24.086000000000038,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
4,14546.041000000007,32.134000000000015,24.089000000000038,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
5,14951.038000000006,32.13900000000002,24.09200000000004,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
6,15586.033000000005,40.143999999999785,32.092000000000006,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
7,15786.034000000005,40.14499999999979,32.094,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
8,15806.035000000005,56.14599999999979,32.09700000000001,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
9,16026.034000000005,88.1450000000003,32.1,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
10,15477.034000000005,88.14900000000031,40.10199999999997,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
11,14132.037000000006,104.1500000000003,56.103999999999914,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
12,13172.038000000004,120.15100000000024,72.10300000000021,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
13,12607.039000000004,120.15400000000025,80.10400000000013,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
14,11827.040000000005,136.1560000000003,96.10600000000015,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
15,9922.041000000005,152.1590000000005,96.10800000000015,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
16,9552.043000000005,152.1620000000005,96.11100000000016,200.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
17,9162.045000000006,152.16800000000052,104.11300000000017,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
18,8792.046000000006,152.17300000000054,120.1130000000002,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
19,8987.046000000006,152.17500000000055,112.11600000000021,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
20,10567.048000000006,176.17600000000064,112.12000000000023,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
21,11152.048000000006,176.17900000000063,128.11900000000023,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
22,10798.049000000006,192.18000000000063,120.12500000000023,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
23,10818.051000000007,216.18200000000064,128.12600000000023,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
24,11491.052000000007,240.18700000000067,128.12800000000024,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
25,10930.057000000008,256.19200000000046,128.13000000000022,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
26,12144.05600000001,288.1949999999996,128.13200000000023,220.0,10.0,6500.0,0.0,0.0,0.0,0.0,0.0
27,12307.06000000001,288.19799999999964,136.13200000000023,220.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
28,12709.06200000001,304.19799999999896,136.13500000000025,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
29,12335.06100000001,304.19899999999893,136.13800000000023,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
30,11165.06200000001,304.2009999999989,136.13800000000023,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
31,11555.06200000001,304.2009999999989,128.14100000000022,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
32,12150.067000000012,320.20099999999894,136.14400000000026,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
33,12190.067000000012,320.20099999999894,128.14500000000027,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
34,11995.067000000012,336.19999999999897,144.14300000000026,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
35,13580.066000000012,352.19899999999893,152.14200000000022,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
36,11650.06600000001,392.19599999999843,144.14300000000026,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
37,12053.06800000001,400.19499999999846,144.14300000000026,25.0,20.0,6500.0,0.0,0.0,0.0,0.0,0.0
