,0
0,21565.631000000038
1,28367.57300000003
2,30532.559000000027
3,33273.55000000002
4,33553.56000000003
5,34467.563000000024
6,35090.56400000001
7,35827.56300000001
8,36175.57100000001
9,36383.57300000002
10,32701.58100000002
11,30379.589000000018
12,28123.598000000016
13,25079.61500000002
14,23997.622000000018
15,23854.636000000017
16,22708.650000000016
17,22175.658000000018
18,21801.67400000002
19,21670.68500000002
20,24858.69900000002
21,27226.711000000018
22,26474.72100000002
23,27159.72600000002
24,28357.740000000023
25,28628.745000000024
26,29448.756000000023
27,29890.76200000002
28,29755.77600000002
29,31037.78900000002
30,29490.803000000025
31,29937.81700000002
32,31531.828000000027
33,33474.82000000002
34,32917.81900000002
35,32203.82000000002
36,32307.81500000002
37,31910.81700000002
38,31824.80700000002
39,31296.800000000017
40,30725.799000000017
41,30734.800000000017
42,31512.801000000018
43,30004.794000000016
44,30445.789000000015
45,30007.793000000016
46,30083.786000000015
47,29547.784000000014
48,30730.783000000018
49,29991.782000000014
50,30406.782000000017
51,30298.774000000016
52,28687.776000000016
53,30505.767000000014
54,30396.762000000013
55,30216.757000000012
56,31232.756000000016
57,30781.762000000013
58,31812.757000000016
59,32418.755000000016
60,33040.752000000015
61,33836.750000000015
62,33428.75300000001
63,33030.75100000002
64,33438.74900000002
65,32437.75200000002
66,32489.745000000014
67,31918.745000000014
68,30778.744000000017
69,29395.745000000017
70,29551.744000000013
71,29575.743000000013
72,30179.741000000013
73,29425.738000000012
74,28659.739000000012
75,28911.736000000015
76,28787.730000000014
77,29343.731000000014
78,30712.733000000015
79,30105.733000000015
80,30311.732000000015
81,30115.73100000001
82,30316.73200000001
83,31440.73500000001
84,31456.73300000001
85,31820.738000000012
86,32806.73700000001
87,31669.737000000016
88,31299.733000000015
89,31705.729000000014
90,32535.725000000013
91,33557.71900000001
92,32938.72300000001
93,32737.723000000013
94,32104.726000000013
95,31941.723000000013
96,30967.724000000013
97,31361.722000000012
98,31316.726000000013
99,30318.729000000014
100,29834.720000000012
101,29853.719000000012
102,30630.71800000001
103,29850.71800000001
104,30461.71400000001
105,29742.70900000001
106,29972.70600000001
107,29357.71100000001
108,29824.70700000001
109,30395.71200000001
110,30429.70800000001
111,30415.70900000001
112,31373.70700000001
113,32000.705000000013
114,32956.70700000001
115,33215.70200000001
116,32403.70400000001
117,32684.71400000001
118,32492.71300000001
119,32888.71500000001
120,33681.71500000001
121,33100.714000000014
122,32707.71500000001
123,33512.71500000001
124,32606.71000000001
125,33165.71400000001
126,33597.70900000001
127,34385.70800000001
128,33605.710000000014
129,33210.71100000001
130,32839.71000000001
131,33413.71100000001
132,31818.71500000001
133,30664.714000000014
134,31246.71300000001
135,30260.71500000001
136,29483.71500000001
137,28682.71600000001
138,29053.71600000001
139,30792.71700000001
140,30987.71600000001
141,30955.71800000001
142,31156.719000000012
143,30715.723000000013
144,30726.724000000013
145,31118.722000000012
146,32072.721000000012
147,31464.725000000013
148,32023.727000000014
149,31490.720000000012
150,31488.722000000012
151,30918.719000000012
152,31799.71200000001
153,32603.70800000001
154,32577.710000000014
155,32169.71200000001
156,31397.71000000001
157,30179.71200000001
158,29402.71300000001
159,28181.71600000001
160,27383.71700000001
161,28593.71300000001
162,27764.71400000001
163,27179.715000000007
164,27348.718000000008
165,27809.71100000001
166,27588.71800000001
167,28020.716000000008
168,28816.71400000001
169,30803.71100000001
170,31759.71300000001
171,32109.716000000008
172,32099.717000000008
173,31958.71500000001
174,30725.72100000001
175,30519.72100000001
176,31346.71600000001
177,32315.71400000001
178,33448.71600000001
179,33227.72000000001
180,34054.717000000004
181,32507.716000000008
182,33127.713
183,33354.71100000001
184,32382.71100000001
185,32174.71400000001
186,32165.711000000007
187,31549.715000000007
188,30576.714000000007
189,29180.719000000012
190,28750.72200000001
191,29105.724000000013
192,27540.72600000001
193,26869.73100000001
194,28352.73800000001
195,28913.74000000001
196,29292.73900000001
197,29131.735000000008
198,29337.732000000007
199,30144.73200000001
200,30921.73100000001
201,32467.72800000001
202,32713.72500000001
203,32717.72700000001
204,32586.722000000012
205,32594.72200000001
206,32191.72300000001
207,33395.72000000001
208,34204.71600000001
209,34207.715000000004
210,34194.718
211,32824.72000000001
212,34276.71200000001
213,34041.717000000004
214,32626.723000000016
215,33970.72800000001
216,33409.72700000001
217,33264.72100000001
218,31882.719000000012
219,31150.716000000015
220,30734.719000000012
221,30031.711000000014
222,29275.710000000017
223,28709.70800000001
224,29150.707000000013
225,28589.703000000012
226,28795.702000000012
227,28020.701000000012
228,28397.70500000001
229,28193.703000000012
230,28989.701000000012
231,30544.703000000012
232,30138.70200000001
233,30565.697000000007
234,29673.70700000001
235,28914.70500000001
236,28490.70800000001
237,29241.71100000001
238,30031.70800000001
239,30427.70900000001
240,30392.709000000013
241,29459.703000000012
242,30210.705000000013
243,29997.708000000013
244,30825.702000000012
245,31984.702000000012
246,32348.706000000017
247,31795.704000000012
248,31572.704000000016
249,31580.702000000012
250,31796.70000000001
